Participant,Chest Total Distance,HeadCamera Total Distance,LeftElbow Total Distance,LeftShoulder Total Distance,MotionControllerLeft Total Distance,MotionControllerRight Total Distance,RightElbow Total Distance,RightShoulder Total Distance
C001,3412.670879047747,4279.274901155735,4288.582700059116,3973.000006586582,5182.224528550896,10905.739543542868,9021.289378843076,6577.576006881019
C003,3924.459833158843,4188.58690958201,10956.856698662012,5295.321816356024,6069.771100076,11752.435623153675,9980.064138355476,5986.207881966154
C006,1333.791569367511,3044.3888437456767,1984.15038319818,2171.6094150641375,3695.805904837254,10100.423326976928,6357.739702862474,4950.245383404476
C008,4242.098701252247,5457.755160805992,7109.45314069098,6251.381484798185,7812.5785244923645,15305.334756909859,12542.308661141846,8928.64207716315
C009,6417.363081191235,7355.626722386752,9619.928362670547,8002.941907071285,10363.98024631366,17018.96602611937,13587.082827735276,9942.432144230104
C012,1885.463294593651,2343.370019192396,3102.490358488466,2282.249137995445,3587.3561433461637,10589.813611715166,7435.435851320119,4836.915787175875
C013,6810.143227630564,7843.467810261154,10009.235996817393,9369.871432578111,12558.189528407223,15412.361777985408,12714.614154291836,10091.989280637954
C016,2344.234016909186,2511.1318818540294,4298.854967788114,3616.8657096156808,5000.8618371752245,8592.558162644822,6352.376485988835,4692.5835550269085
C017,3142.1452911498504,4675.839668665069,4934.165754855028,4271.509319823017,6913.017052055235,11519.019821958263,9631.877374915559,6059.969241183189
C020,3334.669489029304,5200.170016307801,4989.299952928478,4342.714386204378,6011.462515943532,11887.168528458833,9021.289378843076,6577.576006881019
C021,3949.856691049683,5474.071392710432,6274.606614202097,5554.345130625368,7579.732126921132,15740.776786626624,12322.960955974042,7882.893810976346
C024,1566.527292971171,2192.288002971354,2438.5589385941166,2134.637817469929,2925.305220881283,10858.381962250101,6920.801348456938,5242.307664854345
C025,3827.0273652136293,5545.765782410318,3858.423581801245,4377.832749456057,4837.947889812553,12868.885461497917,9887.67013051302,6824.871670978828
C028,2610.4218950436216,4652.023813336796,1606.0135661825411,1996.1780039707587,1674.9118864049847,13411.66754428502,9905.39988525959,7094.981287381578
C029,4217.017528695218,6230.493933284745,7091.159589871275,6160.227686755412,8607.06374578573,15332.816193809755,11464.879407027085,9309.64104154299
C032,1566.527292971171,2465.846811112123,1450.2113539699628,1681.9617593689145,2304.416156839858,9826.000864648227,6850.895791924468,4517.944070909713
