Participant,Block Design Raw Score,Step,Chest Distance - Add Beef,HeadCamera Distance - Add Beef,LeftElbow Distance - Add Beef,LeftShoulder Distance - Add Beef,MotionControllerLeft Distance - Add Beef,MotionControllerRight Distance - Add Beef,RightElbow Distance - Add Beef,RightShoulder Distance - Add Beef
C001,36.0,Add Beef,667.4172892651459,892.6124372197788,546.694850339064,632.7558382926618,654.9990733302429,2123.031272434717,1345.0549143948565,908.1997979855804
C003,58.0,Add Beef,244.5539640905693,672.6200843075768,3621.467395487523,1107.6848296725432,1368.3880189517165,1709.467574212204,1416.8205671945962,896.1410241739178
C006,42.0,Add Beef,258.6591273933118,527.5148248204232,377.3531390155235,309.9102822358332,500.4359436367269,1480.011144090782,1066.7272454192423,823.5634428228936
C008,34.0,Add Beef,587.0499639676692,823.3077942919548,1251.1386374830522,1007.2945158484848,1487.6611638939517,2516.994520247008,1975.5792790725227,1316.2434109577143
C009,24.0,Add Beef,1238.803190080819,1785.0562167075784,3232.513404461776,2476.108556771581,3746.344523528049,4081.032920033501,2965.9751285185503,2162.301896979613
C012,54.0,Add Beef,454.1307928284187,584.809487823177,557.4519962270003,426.5324640601391,627.4995781369864,2231.8399606861253,1613.99959896489,1077.788100444153
C013,48.0,Add Beef,1167.7076912435462,1268.0568164403471,1461.9855720711985,1396.5485617008685,1764.6638971772088,2825.347528374104,2306.2005929083066,1748.9740370436305
C016,39.0,Add Beef,807.7817455587108,489.99709197407776,962.5160881206403,832.3122752765377,1157.4751164384224,1998.3324203810917,1317.0407867532658,964.0631942462414
C017,36.0,Add Beef,389.8513659731674,491.96776964667407,586.1144882141921,490.7745563174034,899.433659656427,1360.655401445516,1129.5518814487175,702.2232797850104
C020,30.0,Add Beef,290.5174010879513,426.00490391641233,435.9341201304927,386.3035131665837,568.2896234434395,1172.8902100848063,832.428879862763,610.7372676925984
C021,29.0,Add Beef,622.3613543868513,913.8582501279056,897.5843161802136,861.0054744637561,1094.207328788735,2876.070620318073,2091.72152402586,1337.3051060197613
C024,42.0,Add Beef,248.22003132884248,319.24887680027183,480.472759771519,425.9663174156313,524.0057895740002,2267.582524132688,1505.1999577399647,1061.0248122977443
C025,24.0,Add Beef,558.08589368176,753.222396575168,467.8266591830622,546.6495345315947,597.1378230212715,1847.3248316080555,1345.0549143948565,908.1997979855804
C028,50.0,Add Beef,327.48702516573366,696.3569055370382,217.0817469456072,291.6482839021223,170.6844514212271,2129.558911122978,1527.3728522264491,1091.3948302387228
C032,63.0,Add Beef,558.08589368176,560.5007723999774,345.3737076875454,393.3693456992117,489.9090206819254,2012.4268413627392,1253.923696928833,852.5779493321079
