Participant,Block Design Raw Score,Step,Chest Distance - Pour Broth,HeadCamera Distance - Pour Broth,LeftElbow Distance - Pour Broth,LeftShoulder Distance - Pour Broth,MotionControllerLeft Distance - Pour Broth,MotionControllerRight Distance - Pour Broth,RightElbow Distance - Pour Broth,RightShoulder Distance - Pour Broth
C001,36.0,Pour Broth,812.6082163354354,899.9410763139891,891.8618022783778,928.5987493388872,1035.573133702473,1784.4958187621962,1972.8191898789887,1142.6766523044062
C003,58.0,Pour Broth,2416.319672198268,1549.4374976210966,4811.979810390748,2256.7347211334427,2130.161392345661,2685.000314550654,3558.918684925904,1652.5569654280591
C006,42.0,Pour Broth,292.2581286475739,442.1176696395663,478.2371615662523,381.813594068168,585.1343758160399,754.85961579928,519.0441536842256,447.1523715238956
C008,34.0,Pour Broth,559.4416147962946,527.4369412547021,837.2404952576561,771.943405804466,895.0505646786037,973.8268393328306,924.3946217152296,817.7541679113476
C009,24.0,Pour Broth,2137.194232273411,1588.5863156269183,2359.8391163013057,1937.072179633954,2705.9811053758585,2923.15721521952,2442.2086471245493,1935.139796219615
C012,54.0,Pour Broth,315.0721980625986,230.93417418040568,354.3653699526272,328.4564251452817,361.8341576514794,596.6162655736734,502.160235259169,429.6120332471468
C013,48.0,Pour Broth,409.4580856406351,448.2402334277221,617.5927758250135,654.561792537671,620.8734945939434,750.5234591844792,586.0614003964395,515.786549559864
C016,39.0,Pour Broth,338.2033023028631,249.0617332030674,368.8960226106669,365.4485021122946,319.9614026371011,518.0095125512858,426.3757957742858,395.608539652642
C017,36.0,Pour Broth,881.6009390521858,1227.43547286603,1280.4853797089213,1074.349904053463,1172.3996520328235,1609.534275511935,1972.8191898789887,1142.6766523044062
C020,30.0,Pour Broth,602.7270348333584,1439.9721934860745,1137.7727893585725,962.3717305033804,1104.4664422688325,1414.6604418561724,1095.6277856463116,909.8286703719762
C021,29.0,Pour Broth,732.1400434947735,980.022299889525,1464.4251945328376,969.2698217486928,1872.4684399631976,1660.8349372225678,1544.0035852314456,934.7795830633804
C024,42.0,Pour Broth,276.8656865352672,222.29428834535628,333.4286870211232,322.6934809284542,368.0339380548653,854.99405620827,500.1235402364433,434.0452735133972
C025,24.0,Pour Broth,665.0351053438944,717.8861023094959,766.5766310425695,719.1549464933614,712.4185108033371,1302.8757063741132,1098.814955536715,940.445915349476
C028,50.0,Pour Broth,326.2188236327649,381.7402199752056,311.76134592008725,303.3308559163444,342.1746909752498,651.6910190999956,521.7906681585706,439.8226215360591
C032,63.0,Pour Broth,292.2581286475739,450.722713893224,293.1589679129156,292.73759604062195,585.6633673777096,946.5704625973816,541.0201974136714,408.1967999221397
